date,Belgium,Brazil,Canada,China,France,Germany,India,Indonesia,Iran,Ireland,Italy,Mexico,Netherlands,Portugal,Spain,Sweden,Switzerland,Turkey,USA,United Kingdom
2020/2/26,,,,2717,2,,,,19,,12,,,,,,,,,
2020/2/27,,,,2746,2,,,,26,,17,,,,,,,,,
2020/2/28,,,,2790,2,,,,34,,21,,,,,,,,,
2020/2/29,,,,2837,2,,,,43,,29,,,,,,,,1,
2020/3/1,,,,2872,2,,,,54,,34,,,,,,,,1,
2020/3/2,,,,2914,3,,,,66,,52,,,,,,,,6,
2020/3/3,,,,2947,4,,,,77,,79,,,,1,,,,7,
2020/3/4,,,,2983,4,,,,92,,107,,,,2,,,,11,
2020/3/5,,,,3015,6,,,,107,,148,,,,3,,1,,12,1
2020/3/6,,,,3044,9,,,,124,,197,,1,,5,,1,,14,2
2020/3/7,,,,3072,11,,,,145,,233,,1,,10,,1,,17,2
2020/3/8,,,,3100,19,,,,194,,366,,3,,17,,2,,21,3
2020/3/9,,,1,3123,19,2,,,237,,463,,3,,28,,2,,22,4
2020/3/10,,,1,3139,33,2,,,291,,631,,4,,35,,3,,28,6
2020/3/11,3,,1,3161,48,3,1,1,354,1,827,,5,,54,1,4,,32,8
2020/3/12,3,,1,3172,48,3,1,1,429,1,1000,,5,,55,1,4,,40,8
2020/3/13,3,,1,3180,79,7,2,4,514,1,1266,,10,,133,1,11,,48,8
2020/3/14,4,,1,3193,91,9,2,5,611,2,1441,,12,,195,2,13,,54,21
2020/3/15,4,,1,3203,91,11,2,5,724,2,1809,,20,,289,3,14,,60,21
2020/3/16,5,,4,3217,149,17,2,5,853,2,2158,,24,,342,6,14,,84,56
2020/3/17,10,1,5,3230,149,24,3,5,988,2,2503,,43,1,533,7,27,1,107,56
2020/3/18,14,3,8,3241,149,28,3,19,1135,2,2978,,58,2,623,10,28,1,143,72
2020/3/19,21,6,9,3249,244,44,4,25,1284,3,3405,1,77,3,830,11,41,3,209,138
2020/3/20,37,11,12,3253,451,67,5,32,1433,3,4032,1,107,6,1043,16,54,4,260,178
